movieId,title,genres
movieId 1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
movieId 2,Jumanji (1995),Adventure|Children|Fantasy
movieId 3,Grumpier Old Men (1995),Comedy|Romance
movieId 4,Waiting to Exhale (1995),Comedy|Drama|Romance
movieId 5,Father of the Bride Part II (1995),Comedy
movieId 6,Heat (1995),Action|Crime|Thriller
movieId 7,Sabrina (1995),Comedy|Romance
movieId 8,Tom and Huck (1995),Adventure|Children
movieId 9,Sudden Death (1995),Action
movieId 10,GoldenEye (1995),Action|Adventure|Thriller
movieId 11,"American President, The (1995)",Comedy|Drama|Romance
movieId 12,Dracula: Dead and Loving It (1995),Comedy|Horror
movieId 13,Balto (1995),Adventure|Animation|Children
movieId 14,Nixon (1995),Drama
movieId 15,Cutthroat Island (1995),Action|Adventure|Romance
movieId 16,Casino (1995),Crime|Drama
movieId 17,Sense and Sensibility (1995),Drama|Romance
movieId 18,Four Rooms (1995),Comedy
movieId 19,Ace Ventura: When Nature Calls (1995),Comedy
movieId 20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
movieId 21,Get Shorty (1995),Comedy|Crime|Thriller
movieId 22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
movieId 23,Assassins (1995),Action|Crime|Thriller
movieId 24,Powder (1995),Drama|Sci-Fi
movieId 25,Leaving Las Vegas (1995),Drama|Romance
movieId 26,Othello (1995),Drama
movieId 27,Now and Then (1995),Children|Drama
movieId 28,Persuasion (1995),Drama|Romance
movieId 29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
movieId 30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
movieId 31,Dangerous Minds (1995),Drama
movieId 32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
movieId 34,Babe (1995),Children|Drama
movieId 36,Dead Man Walking (1995),Crime|Drama
movieId 38,It Takes Two (1995),Children|Comedy
movieId 39,Clueless (1995),Comedy|Romance
movieId 40,"Cry, the Beloved Country (1995)",Drama
movieId 41,Richard III (1995),Drama|War
movieId 42,Dead Presidents (1995),Action|Crime|Drama
movieId 43,Restoration (1995),Drama
movieId 44,Mortal Kombat (1995),Action|Adventure|Fantasy
movieId 45,To Die For (1995),Comedy|Drama|Thriller
movieId 46,How to Make an American Quilt (1995),Drama|Romance
movieId 47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
movieId 48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
movieId 49,When Night Is Falling (1995),Drama|Romance
movieId 50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
movieId 52,Mighty Aphrodite (1995),Comedy|Drama|Romance
movieId 53,Lamerica (1994),Adventure|Drama
movieId 54,"Big Green, The (1995)",Children|Comedy
movieId 55,Georgia (1995),Drama
movieId 57,Home for the Holidays (1995),Drama
movieId 58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
movieId 60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
movieId 61,Eye for an Eye (1996),Drama|Thriller
movieId 62,Mr. Holland's Opus (1995),Drama
movieId 63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
movieId 64,Two if by Sea (1996),Comedy|Romance
